WellName~ WellType~ ScreenID~ ZTop~ ZBottom~ Rwell
165-P_98~ Pumping~ 1~  9.761961e+00~ -2.521225e+01~  1.000000e+00
1666-P_00~ Pumping~ 1~ -6.206910e+01~ -1.993069e+02~  1.000000e+00
1668-P_00~ Pumping~ 1~ -3.352910e+01~ -1.992050e+02~  1.000000e+00
1673-P_00~ Pumping~ 1~ -5.741829e+01~ -1.442084e+02~  1.000000e+00
1685-P_00~ Pumping~ 1~ -3.303446e+01~ -1.991977e+02~  1.000000e+00
1686-P_00~ Pumping~ 1~ -4.476718e+01~ -1.992733e+02~  1.000000e+00
1687-P_00~ Pumping~ 1~ -5.527331e+01~ -1.993656e+02~  1.000000e+00
1693-P_00~ Pumping~ 1~ -6.753746e+01~ -1.993731e+02~  1.000000e+00
1694-P_00~ Pumping~ 1~  1.475369e+01~  1.157137e+01~  1.000000e+00
1706-P_00~ Pumping~ 1~  2.193951e+01~  1.528512e+01~  1.000000e+00
1707-P_00~ Pumping~ 1~  7.706801e+00~ -1.990593e+02~  1.000000e+00
1708-P_00~ Pumping~ 1~ -4.174487e+01~ -1.292318e+02~  1.000000e+00
1712-P_00~ Pumping~ 1~ -4.335424e+01~ -1.992479e+02~  1.000000e+00
1717-P_00~ Pumping~ 1~ -6.064280e+01~ -1.993307e+02~  1.000000e+00
1718-P_00~ Pumping~ 1~ -6.064280e+01~ -1.993307e+02~  1.000000e+00
1719-P_00~ Pumping~ 1~ -6.042766e+01~ -1.993241e+02~  1.000000e+00
1721-P_00~ Pumping~ 1~ -6.783095e+01~ -1.993358e+02~  1.000000e+00
1722-P_00~ Pumping~ 1~ -4.775123e+01~ -1.992519e+02~  1.000000e+00
1725-P_00~ Pumping~ 1~ -2.191982e+01~ -1.991423e+02~  1.000000e+00
1726-P_00~ Pumping~ 1~ -3.039035e+01~ -1.991799e+02~  1.000000e+00
1728-P_00~ Pumping~ 1~ -2.494741e+01~ -1.991571e+02~  1.000000e+00
1729-P_00~ Pumping~ 1~ -3.039035e+01~ -1.991799e+02~  1.000000e+00
1730-P_00~ Pumping~ 1~ -3.646927e+01~ -1.992094e+02~  1.000000e+00
1760-P_00~ Pumping~ 1~ -4.735921e+01~ -1.992731e+02~  1.000000e+00
1761-P_00~ Pumping~ 1~ -7.408082e+01~ -1.994726e+02~  1.000000e+00
1762-P_00~ Pumping~ 1~ -4.213845e+01~ -1.992274e+02~  1.000000e+00
1767-P_00~ Pumping~ 1~ -6.911612e+01~ -1.993423e+02~  1.000000e+00
1768-P_00~ Pumping~ 1~ -8.468334e+01~ -1.994483e+02~  1.000000e+00
